2015-02-18 12:50:08 status half-installed libacl1:armhf 2.2.52-1.1
2015-02-18 12:50:09 status unpacked libacl1:armhf 2.2.52-1.1
2015-02-18 12:50:09 status unpacked libacl1:armhf 2.2.52-1.1
2015-02-18 12:50:10 install libattr1:armhf <none> 1:2.4.47-2
2015-02-18 12:50:10 status half-installed libattr1:armhf 1:2.4.47-2
2015-02-18 12:50:11 status unpacked libattr1:armhf 1:2.4.47-2
2015-02-18 12:50:11 status unpacked libattr1:armhf 1:2.4.47-2
2015-02-18 12:50:12 install libaudit-common:all <none> 1:2.3.7-1ubuntu1
2015-02-18 12:50:12 status half-installed libaudit-common:all 1:2.3.7-1ubuntu1
2015-02-18 12:50:13 status unpacked libaudit-common:all 1:2.3.7-1ubuntu1
2015-02-18 12:50:13 status unpacked libaudit-common:all 1:2.3.7-1ubuntu1
2015-02-18 12:50:15 install libaudit1:armhf <none> 1:2.3.7-1ubuntu1
2015-02-18 12:50:15 status half-installed libaudit1:armhf 1:2.3.7-1ubuntu1
2015-02-18 12:50:16 status unpacked libaudit1:armhf 1:2.3.7-1ubuntu1
2015-02-18 12:50:16 status unpacked libaudit1:armhf 1:2.3.7-1ubuntu1
2015-02-18 12:50:17 install libblkid1:armhf <none> 2.25.1-3ubuntu4
2015-02-18 12:50:17 status half-installed libblkid1:armhf 2.25.1-3ubuntu4
2015-02-18 12:50:19 status unpacked libblkid1:armhf 2.25.1-3ubuntu4
2015-02-18 12:50:19 status unpacked libblkid1:armhf 2.25.1-3ubuntu4
2015-02-18 12:50:21 install libbz2-1.0:armhf <none> 1.0.6-5ubuntu5
2015-02-18 12:50:21 status half-installed libbz2-1.0:armhf 1.0.6-5ubuntu5
2015-02-18 12:50:21 status unpacked libbz2-1.0:armhf 1.0.6-5ubuntu5
2015-02-18 12:50:22 status unpacked libbz2-1.0:armhf 1.0.6-5ubuntu5
2015-02-18 12:50:23 install libc-bin:armhf <none> 2.19-10ubuntu2
2015-02-18 12:50:23 status half-installed libc-bin:armhf 2.19-10ubuntu2
2015-02-18 12:50:24 status unpacked libc-bin:armhf 2.19-10ubuntu2
2015-02-18 12:50:25 status unpacked libc-bin:armhf 2.19-10ubuntu2
2015-02-18 12:50:26 upgrade libc6:armhf 2.19-10ubuntu2 2.19-10ubuntu2
